id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15778838.0,Mazzanti,582.0,Germany,Female,39.0,8.0,125534.51,1.0,1.0,0.0,131281.28,0.0
1,15788151.0,Burtch,744.0,France,Female,29.0,7.0,0.0,2.0,1.0,1.0,93829.17,0.0
2,15588928.0,Frolov,752.0,Spain,Male,32.0,3.0,0.0,2.0,0.0,0.0,125979.36,0.0
3,15694890.0,Lu,749.0,Germany,Female,54.0,7.0,82916.43,2.0,1.0,1.0,131736.23,0.0
4,15742841.0,Macleod,770.0,Spain,Male,43.0,2.0,0.0,2.0,1.0,0.0,157527.6,0.0
5,15643966.0,Iadanza,555.0,Spain,Female,26.0,7.0,0.0,2.0,1.0,0.0,110440.5,0.0
6,15592326.0,Kaur,554.0,France,Female,53.0,4.0,0.0,1.0,1.0,0.0,91652.43,1.0
7,15568429.0,T'ien,756.0,Spain,Male,39.0,6.0,0.0,2.0,0.0,0.0,152740.16,0.0
8,15682576.0,Yobachukwu,771.0,France,Male,41.0,8.0,132730.17,1.0,0.0,0.0,176692.87,0.0
9,15697360.0,Lucchese,718.0,France,Male,34.0,9.0,0.0,2.0,1.0,1.0,9984.4,0.0
10,15598883.0,Ku,736.0,Germany,Female,45.0,4.0,84719.98,1.0,0.0,1.0,173776.5,1.0
11,15783025.0,Onwumelu,642.0,France,Male,37.0,6.0,127837.54,1.0,1.0,0.0,138399.67,0.0
12,15733114.0,T'ien,607.0,France,Male,34.0,8.0,0.0,2.0,0.0,1.0,60920.03,0.0
13,15807595.0,T'ien,729.0,France,Male,32.0,6.0,0.0,2.0,1.0,1.0,170893.85,0.0
14,15803801.0,Niu,644.0,France,Female,48.0,2.0,0.0,2.0,1.0,0.0,177622.38,1.0
15,15800228.0,Udegbulam,682.0,France,Female,36.0,5.0,0.0,1.0,1.0,1.0,72993.67,1.0
16,15797910.0,H?,613.0,France,Male,36.0,8.0,0.0,2.0,1.0,1.0,149665.65,0.0
17,15591035.0,Tsao,508.0,Spain,Male,35.0,3.0,0.0,2.0,0.0,1.0,122022.89,0.0
18,15652981.0,Nwankwo,757.0,France,Male,37.0,5.0,0.0,2.0,1.0,1.0,89801.9,0.0
19,15708714.0,Chiu,712.0,France,Male,32.0,1.0,0.0,2.0,1.0,1.0,7921.57,0.0
20,15592222.0,Calabrese,653.0,Germany,Male,27.0,3.0,132576.25,2.0,1.0,1.0,53412.07,0.0
21,15686913.0,H?,681.0,France,Male,30.0,2.0,0.0,2.0,0.0,1.0,180969.55,0.0
22,15640034.0,Ts'ui,592.0,France,Male,40.0,8.0,0.0,2.0,1.0,0.0,150802.41,0.0
23,15776629.0,Ebelegbulam,592.0,Germany,Female,38.0,7.0,116688.68,1.0,0.0,0.0,59645.24,1.0
